gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2022-03-13,1,0.439895955809,0.159975308151,0.04556525547,0.016714522185,0.002958792153,0.001048199096,0.000376194822,0,1,164,Rutgers,81.13,West,11a,18
mens,2022-03-13,0,1.0,0.334455765635,0.076783067947,0.017628133823,0.005803760034,0.001499966201,0.000340982756,1,1,2571,South Dakota State,79.67,Midwest,13,78
mens,2022-03-13,0,1.0,0.282143875207,0.101500727843,0.00955155795,0.00284867863,0.00079739273,0.000231219893,1,1,261,Vermont,80.32,West,13,14
mens,2022-03-13,0,1.0,0.193360592985,0.048897612299,0.010102534673,0.002679180323,0.000755638939,0.000180710123,1,1,236,Chattanooga,78.7,South,13,110
mens,2022-03-13,1,0.245284544013,0.075549376604,0.017249349239,0.005428561249,0.001224421257,0.000256841901,7.6785871e-05,0,1,2751,Wyoming,78.52,East,12a,42
mens,2022-03-13,0,1.0,0.137246568487,0.030684102447,0.002649304903,0.000737720994,0.000169963182,4.1269712e-05,1,1,166,New Mexico State,77.68,West,12,10
mens,2022-03-13,0,1.0,0.151110950493,0.036565205579,0.007309572822,0.001242205346,0.000226398268,3.6925993e-05,1,1,2142,Colgate,76.4,Midwest,14,86
mens,2022-03-13,0,1.0,0.074384262713,0.016510839053,0.004410722201,0.000843687458,0.000124208198,2.7323844e-05,1,1,2006,Akron,76.69,East,13,46
mens,2022-03-13,0,1.0,0.060648741175,0.009302146187,0.001492087597,0.000360804804,3.9360996e-05,6.617278e-06,1,1,43,Yale,74.74,East,14,54
mens,2022-03-13,0,1.0,0.04513203025,0.012800177205,0.001564270912,0.000277857851,3.1388498e-05,5.446838e-06,1,1,2612,Saint Peter's,74.17,East,15,62
mens,2022-03-13,0,1.0,0.054901747655,0.01397143381,0.002298431928,0.000257170886,3.737015e-05,4.909166e-06,1,1,55,Jacksonville State,73.15,Midwest,15,94
mens,2022-03-13,0,1.0,0.073021923848,0.014756784969,0.002667486094,0.000224951598,3.1422509e-05,4.799388e-06,1,1,147,Montana State,74.3,West,14,22
mens,2022-03-13,1,0.686563328098,0.025380347143,0.005683930179,0.000760738204,0.000114647074,1.8721998e-05,2.624276e-06,0,1,2750,Wright State,73.52,South,16a,98
mens,2022-03-13,0,1.0,0.058597621242,0.009821576913,0.001144481058,0.000124882271,1.8350692e-05,2.319874e-06,1,1,2344,Longwood,73.42,South,14,118
mens,2022-03-13,0,1.0,0.051679428004,0.008567881761,0.001100123374,0.000119229808,1.7212039e-05,2.138466e-06,1,1,48,Delaware,73.57,South,15,126
mens,2022-03-13,0,1.0,0.011660362862,0.001655317511,0.000266501198,3.7271249e-05,5.914683e-06,1.017848e-06,1,1,2247,Georgia State,73.46,West,16,2
mens,2022-03-13,0,1.0,0.036985979671,0.004816873094,0.000639392241,6.460944e-05,4.785245e-06,5.62708e-07,1,1,2450,Norfolk State,71.39,East,16,34
mens,2022-03-13,1,0.640258839886,0.02015871385,0.003436383007,0.000345766855,3.8314779e-05,4.501741e-06,4.82196e-07,0,1,2640,Texas Southern,70.37,Midwest,16a,66
mens,2022-03-13,0,1.0,0.029355235598,0.003167897526,0.000431171626,2.9711682e-05,2.999907e-06,3.37166e-07,1,1,2239,Cal State Fullerton,71.78,West,15,30
mens,2022-03-13,1,0.313436671902,0.008899605246,0.00160772324,0.00016951431,2.032673e-05,2.666036e-06,3.01536e-07,0,1,2803,Bryant,71.55,South,16b,99
mens,2022-03-13,1,0.359741160114,0.007129212176,0.000811668174,5.5671251e-05,4.245937e-06,3.40578e-07,2.5214e-08,0,1,357,Texas A&M-Corpus Christi,67.3,Midwest,16b,67
womens,2022-03-13,0,1.0,0.999623564459,0.982862155724,0.924467456549,0.838888611904,0.669442823269,0.464966076869,1,1,2579,South Carolina,106.36,Greensboro,1,0
womens,2022-03-13,0,1.0,0.997552305958,0.96982367359,0.83883836494,0.674280088994,0.360422310472,0.155184925621,1,1,24,Stanford,101.83,Spokane,1,96
womens,2022-03-13,0,1.0,0.996761777444,0.970815459827,0.889462971813,0.556565130507,0.336146944169,0.153720573397,1,1,152,North Carolina State,101.78,Bridgeport,1,64
womens,2022-03-13,0,1.0,0.990159521315,0.916214661077,0.747436683933,0.367935889197,0.18047850513,0.064645770323,1,1,41,Connecticut,98.35,Bridgeport,2,92
womens,2022-03-13,0,1.0,0.996113146365,0.905858643938,0.713772899869,0.416438192548,0.126849308771,0.057212281636,1,1,97,Louisville,97.4,Wichita,1,32
womens,2022-03-13,0,1.0,0.995875917566,0.890724391958,0.670076747647,0.381607070674,0.102637517857,0.041758685941,1,1,239,Baylor,96.65,Wichita,2,60
womens,2022-03-13,0,1.0,0.987732082548,0.900119531824,0.682160927711,0.207502731867,0.07367148277,0.020848806403,1,1,251,Texas,95.21,Spokane,2,124
womens,2022-03-13,0,1.0,0.969907919672,0.852157328938,0.50848077328,0.072473758304,0.036112825614,0.013645066792,1,1,2294,Iowa,93.5,Greensboro,2,28
womens,2022-03-13,0,1.0,0.971192296922,0.819205337924,0.393428710091,0.046270308936,0.021015076839,0.007140134857,1,1,66,Iowa State,91.86,Greensboro,3,20
womens,2022-03-13,0,1.0,0.978019359875,0.741704623331,0.214554928571,0.074673580337,0.01246666478,0.003389733834,1,1,130,Michigan,90.12,Wichita,3,52
womens,2022-03-13,0,1.0,0.944520801078,0.676499517421,0.158995362985,0.037756561095,0.012479583127,0.002911844123,1,1,84,Indiana,91.08,Bridgeport,3,84
womens,2022-03-13,0,1.0,0.930429883518,0.643882414459,0.102676942653,0.047643505095,0.013121084723,0.002901531031,1,1,120,Maryland,91.32,Spokane,4,108
womens,2022-03-13,0,1.0,0.769092675614,0.363000280203,0.043780714777,0.026221832032,0.00996012455,0.00277875016,1,1,153,North Carolina,90.85,Greensboro,5,8
